Membership No  Date Joined  Active  
    55064      2016-3-17   yes   
    96481      2016-11-10  no    
    45151      2018-7-1    yes   
    78129      2016-9-27   no    
    39890      2017-2-11   no    
    81579      2018-5-19   yes   
    66788      2018-10-22  yes   
    61040      2019-9-21   no    
    41805      2018-9-1    no    
    74458      2018-12-1   yes   
    15313      2017-5-4    no    
    97944      2019-12-9   yes   
    53761      2020-11-14  no    
    14106      2019-12-9   yes   
    20617      2016-12-19  no    
    32649      2017-1-17   no    
    25787      2019-1-26   yes   
    88606      2017-2-10   no    
    12555      2019-1-11   no    
    39248      2017-3-20   yes   
